"Source:","/Users/cedargrove/Documents/GitHub/PCB_Ibanez_FL-9_Flanger/PCB/Ibanez_FL-9.kicad_sch"
"Date:","Sunday, November 20, 2022 at 06:27:00 PM"
"Tool:","Eeschema (6.0.0-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","155"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BT1","9V Battery","Device:Battery","","~"
"","","C101","0.047uf FILM","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C102","100pf CER","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C103","0.022uf FILM","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C104","0.047uf FILM","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C105","0.004uf FILM","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C106","0.01uf FILM","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C107","120pf CER","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C108","0.033uf FILM","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C109","1uf/50v","Device:CP1_Small","Capacitor_SMD:CP_Elec_6.6x6.6",""
"","","C110","1uf/50","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C111","0.0015uf FILM","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C112","0.001uf CER","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C113","0.003uf FILM","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C114","560pf CER","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C115","1uf/50","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C116","0.22uf/50v","Device:CP1_Small","Capacitor_SMD:CP_Elec_6.6x6.6",""
"","","C117","1uf/50","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C118","100pf CER","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C119","0.004 FILM","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C120","10uf/16v","Device:CP1_Small","Capacitor_SMD:CP_Elec_6.6x6.6",""
"","","C121","0.047uf FILM","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C122","1000pf CER","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C123","1000pf CER","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C124","1000pf CER","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C125","1uf/50v","Device:CP1_Small","Capacitor_SMD:CP_Elec_6.6x6.6",""
"","","C126","20pf CER","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C127","5pf CER","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C128","22uf/10v","Device:CP1_Small","Capacitor_SMD:CP_Elec_6.6x6.6",""
"","","C129","0.01uf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C130","47uf/10v","Device:CP1_Small","Capacitor_SMD:CP_Elec_6.6x6.6",""
"","","C131","47uf/10v","Device:CP1_Small","Capacitor_SMD:CP_Elec_6.6x6.6",""
"","","C132","47uf/6.3v","Device:CP1_Small","Capacitor_SMD:CP_Elec_6.6x6.6",""
"","","C133","100uf/16v","Device:CP1_Small","Capacitor_SMD:CP_Elec_6.6x6.6",""
"","","C134","100uf/10v","Device:CP1_Small","Capacitor_SMD:CP_Elec_6.6x6.6",""
"","","C135","47uf/6.3v","Device:CP1_Small","Capacitor_SMD:CP_Elec_6.6x6.6",""
"","","C201","0.001uf CER","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C202","0.001uf CER","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","D1","LN21CPSL","Device:LED","LED_SMD:LED_0805_2012Metric","~"
"","","D101","1N4004","Diode:1N4448","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D102","1N4004","Diode:1N4448","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D103","1N4004","Diode:1N4448","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D104","1N4004","Diode:1N4448","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D105","RD5.1EB","Device:D_Zener","","~"
"","","D106","W05C","Diode:1N4448","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D107","1N4004","Diode:1N4448","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","J1","INPUT","Connector:AudioJack3","","~"
"","","J2","OUTPUT","Connector:AudioJack2","","~"
"","","J3","EXT_DC","Connector:Barrel_Jack_Switch","","~"
"","","JP1","GRY",":SolderJumper_2_Bridged_1","","~"
"","","JP2","YEL",":SolderJumper_2_Bridged_1","","~"
"","","JP3","WHT",":SolderJumper_2_Bridged_1","","~"
"","","JP4","RED","Jumper:SolderJumper_2_Bridged","","~"
"","","JP5","BLU",":SolderJumper_2_Bridged_1","","~"
"","","JP6","PUR",":SolderJumper_2_Bridged_1","","~"
"","","JP7","BRN",":SolderJumper_2_Bridged_1","","~"
"","","JP8","S-BL",":SolderJumper_2_Bridged_2","","~"
"","","JP9","RED","Jumper:SolderJumper_2_Bridged","","~"
"","","JP10","BLK",":SolderJumper_2_Bridged_5","","~"
"","","JP11","W/R","Jumper:SolderJumper_2_Bridged","","~"
"","","JP12","PINK",":SolderJumper_2_Bridged_6","","~"
"","","JP13","GRN",":SolderJumper_2_Bridged_1","","~"
"","","JP14","ORA",":SolderJumper_2_Bridged_1","","~"
"","","JP15","RED",":SolderJumper_2_Bridged_3","","~"
"","","JP16","Y-GR",":SolderJumper_2_Bridged_4","","~"
"","","Q101","2SC2458GR","Transistor_BJT:2SC1815","Package_TO_SOT_THT:TO-92_Inline","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf"
"","","Q102","2SC2458GR","Transistor_BJT:2SC1815","Package_TO_SOT_THT:TO-92_Inline","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf"
"","","Q103","2SK44SPC","Device:Q_NJFET_SGD","","~"
"","","Q104","2SC2458GR","Transistor_BJT:2SC1815","Package_TO_SOT_THT:TO-92_Inline","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf"
"","","Q105","2SC2458GR","Transistor_BJT:2SC1815","Package_TO_SOT_THT:TO-92_Inline","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf"
"","","Q106","2SC2458GR","Transistor_BJT:2SC1815","Package_TO_SOT_THT:TO-92_Inline","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf"
"","","Q107","2SA1048Y/GR","Transistor_BJT:2SA1015","Package_TO_SOT_THT:TO-92_Inline","http://www.datasheetcatalog.org/datasheet/toshiba/905.pdf"
"","","Q108A1001","2SC1583F","Transistor_BJT:2SC1815","Package_TO_SOT_THT:TO-92_Inline","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf"
"","","Q108B1001","2SC1583F","Transistor_BJT:2SC1815","Package_TO_SOT_THT:TO-92_Inline","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf"
"","","Q109","2SC2458GR","Transistor_BJT:2SC1815","Package_TO_SOT_THT:TO-92_Inline","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf"
"","","R101","1K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R102","510K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R103","91K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R104","18K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R105","180K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R106","510K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R107","100K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R108","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R109","47K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R110","12K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R111","12K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R112","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R113","100K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R114","5.1K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R115","5.1K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R116","56K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R117","18K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R118","18K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R119","18K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R120","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R121","13K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R122","13K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R123","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R124","100K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R125","100K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R126","51K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R127","91K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R128","18K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R129","91K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R131","470","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R132","100K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R133","1M","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R134","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R135","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R136","56K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R137","56K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R138","1M","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R139","62K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R140","22K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R141","22","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R142","100","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
