"Source:","/Users/cedargrove/Documents/GitHub/PCB_Ibanez_FL-9_Flanger/PCB/Ibanez_FL-9.kicad_sch"
"Date:","Tuesday, November 29, 2022 at 03:07:29 PM"
"Tool:","Eeschema (6.0.0-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","156"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description"
"","","BT1","9V Battery","Device:Battery","","~","9 Volt"
"","","C101","0.047uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~","FILM"
"","","C102","100pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"","","C103","0.022uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"","","C104","0.047uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"","","C105","0.004uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"","","C106","0.01uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"","","C107","120pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"","","C108","0.033uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"","","C109","1uf/50v","Device:CP1_Small","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","","AL POLARIZED"
"","","C110","1uf/50","Device:C_Small","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~","AL NON-POLARIZED"
"","","C111","0.0015uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"","","C112","0.001uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"","","C113","0.003uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"","","C114","560pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"","","C115","1uf/50","Device:C_Small","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~","AL NON-POLARIZED"
"","","C116","0.22uf/50v","Device:CP1_Small","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","","AL POLARIZED"
"","","C117","1uf/50","Device:C_Small","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~","AL NON-POLARIZED"
"","","C118","100pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"","","C119","0.004 FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"","","C120","10uf/16v","Device:CP1_Small","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","","AL POLARIZED"
"","","C121","0.047uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"","","C122","1000pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"","","C123","1000pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"","","C124","1000pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"","","C125","1uf/50v","Device:CP1_Small","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","","AL POLARIZED"
"","","C126","20pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"","","C127","5pf CER","Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","CERAMIC"
"","","C128","22uf/10v TAN","Device:CP1_Small","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P5.00mm","","TANTALUM"
"","","C129","0.01uf FILM","Device:C_Small","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","FILM"
"","","C130","47uf/10v","Device:CP1_Small","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","","AL POLARIZED"
"","","C131","47uf/10v","Device:CP1_Small","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","","AL POLARIZED"
"","","C132","47uf/6.3v","Device:CP1_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","AL POLARIZED"
"","","C133","100uf/16v","Device:CP1_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","AL POLARIZED"
"","","C134","100uf/10v","Device:CP1_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","AL POLARIZED"
"","","C135","47uf/6.3v","Device:CP1_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","AL POLARIZED"
"","","CR1","CR_N01","Device:CR_N01","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","RESISTOR-CAPACITOR NETWORK"
"","","CR2","CR_N01","Device:CR_N01","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","RESISTOR-CAPACITOR NETWORK"
"","","D1","LN21CPSL","Device:LED","","~","LED, CLEAR RED"
"","","D101","1N4148","Diode:1N4448","Diode_THT:D_T-1_P2.54mm_Vertical_KathodeUp","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","SIGNAL DIODE, 1N4148"
"","","D102","1N4148","Diode:1N4448","Diode_THT:D_T-1_P2.54mm_Vertical_KathodeUp","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","SIGNAL DIODE, 1N4148"
"","","D103","1N4148","Diode:1N4448","Diode_THT:D_T-1_P2.54mm_Vertical_KathodeUp","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","SIGNAL DIODE, 1N4148"
"","","D104","1N4148","Diode:1N4448","Diode_THT:D_T-1_P2.54mm_Vertical_KathodeUp","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","SIGNAL DIODE, 1N4148"
"","","D105","RD5.1EB","Device:D_Zener","Diode_THT:D_T-1_P2.54mm_Vertical_KathodeUp","~","5.1V ZENER DIODE"
